prompt,regime,layer,head,T,budget,read_ratio,method,rel_l2,cosine,extra_floats
longdoc_qa,longdoc,1,0,3068,64,0.020860495436766623,oracle_mass_global,0.09361235458302126,0.9957855695461247,64
longdoc_qa,longdoc,1,0,3068,64,0.020860495436766623,oracle_mass_block,0.09364437479259258,0.9958065759786843,6080
longdoc_qa,longdoc,1,0,3068,64,0.020860495436766623,lowrank_k8,0.09673484529294461,0.9954566696255697,512
longdoc_qa,longdoc,1,1,3068,8,0.002607561929595828,sparse_renorm,1.1827202706315354,0.705612122631716,0
longdoc_qa,longdoc,1,1,3068,8,0.002607561929595828,cheap_block_residual,1.0807239500505066,0.7067304557233778,12160
longdoc_qa,longdoc,1,1,3068,8,0.002607561929595828,oracle_mass_global,0.7802191909327051,0.6790679419046496,64
longdoc_qa,longdoc,1,1,3068,8,0.002607561929595828,oracle_mass_block,0.7755850990901025,0.6810344100250061,6080
longdoc_qa,longdoc,1,1,3068,8,0.002607561929595828,lowrank_k8,0.7933697054689968,0.6637946925279822,512
longdoc_qa,longdoc,1,1,3068,16,0.005215123859191656,sparse_renorm,0.8740486578602877,0.7870638454674177,0
longdoc_qa,longdoc,1,1,3068,16,0.005215123859191656,cheap_block_residual,0.8120141060702638,0.7871745913636903,12160
longdoc_qa,longdoc,1,1,3068,16,0.005215123859191656,oracle_mass_global,0.672428435161854,0.7557159067764062,64
longdoc_qa,longdoc,1,1,3068,16,0.005215123859191656,oracle_mass_block,0.670971650135956,0.7563108411724968,6080
longdoc_qa,longdoc,1,1,3068,16,0.005215123859191656,lowrank_k8,0.6843343661266965,0.7443965664984468,512
longdoc_qa,longdoc,1,1,3068,32,0.010430247718383311,sparse_renorm,0.615595033997965,0.8708363591096436,0
longdoc_qa,longdoc,1,1,3068,32,0.010430247718383311,cheap_block_residual,0.5791254112233395,0.8702525114461982,12160
longdoc_qa,longdoc,1,1,3068,32,0.010430247718383311,oracle_mass_global,0.542585857178589,0.8413584577891461,64
longdoc_qa,longdoc,1,1,3068,32,0.010430247718383311,oracle_mass_block,0.5395229845470412,0.8430545838653456,6080
longdoc_qa,longdoc,1,1,3068,32,0.010430247718383311,lowrank_k8,0.5533728643500958,0.8340176649931021,512
longdoc_qa,longdoc,1,1,3068,64,0.020860495436766623,sparse_renorm,0.40006140866266726,0.9364802866565722,0
longdoc_qa,longdoc,1,1,3068,64,0.020860495436766623,cheap_block_residual,0.38062818766726464,0.9356436229515053,12160
longdoc_qa,longdoc,1,1,3068,64,0.020860495436766623,oracle_mass_global,0.40242365501455574,0.9158950899765621,64
longdoc_qa,longdoc,1,1,3068,64,0.020860495436766623,oracle_mass_block,0.3996739139548754,0.9171987252582224,6080
