dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,model,regime,layer
128,256,128,0.5,0.4434223510018061,0.9994136830442358,0.0007489229900592468,0.44432484270096345,0.9634146341463414,0.5B,longdoc,4
128,256,128,0.5,0.4285398183585204,0.9980978004781149,0.5113578722037407,0.6493775418105149,0.8780487804878049,0.5B,longdoc,4
128,256,128,0.5,0.22156913467202574,0.9993762519071625,0.0027596666344303204,0.2237362648686588,0.975609756097561,0.5B,longdoc,4
192,256,192,0.75,0.03719398462867251,0.9999514343770145,0.0004507960919335289,0.037209614557370166,1.0,0.5B,longdoc,4
192,256,192,0.75,0.1557346887712326,0.999880640120116,0.11594092164193583,0.19247415257732872,0.975609756097561,0.5B,longdoc,4
192,256,192,0.75,0.0553233472247337,0.9999372253040619,0.0007489229900592468,0.05550555707499876,0.9878048780487805,0.5B,longdoc,4
192,256,192,0.75,0.05945132646486574,0.9999024501827143,0.5113578722037407,0.484270835964115,0.9634146341463414,0.5B,longdoc,4
192,256,192,0.75,0.04198895984911396,0.9999697568691935,0.0027596666344303204,0.042867747470758985,1.0,0.5B,longdoc,4
256,256,256,1.0,8.702644549041369e-07,1.0,0.0004507960919335289,0.00045073849474886704,1.0,0.5B,longdoc,4
256,256,256,1.0,1.049339992569756e-06,0.999999999825377,0.11594092164193583,0.11594147368369967,1.0,0.5B,longdoc,4
256,256,256,1.0,1.5936273115067192e-06,0.999999999650754,0.0007489229900592468,0.0007483812917643189,1.0,0.5B,longdoc,4
256,256,256,1.0,6.582256240859271e-07,0.999999999476131,0.5113578722037407,0.5113572476742415,1.0,0.5B,longdoc,4
256,256,256,1.0,4.110287151103316e-07,0.999999998952262,0.0027596666344303204,0.0027594786330467852,1.0,0.5B,longdoc,4
32,256,32,0.125,0.36551042958750385,0.9195550884832867,0.27296669151789854,0.5205227336608282,0.6707317073170732,0.5B,longdoc,5
32,256,32,0.125,0.47558145471280394,0.9408767190446239,0.25153449052957544,0.477652061420365,0.6585365853658537,0.5B,longdoc,5
32,256,32,0.125,0.6135510962517261,0.8824265117643371,0.14920878119028716,0.5624620172460293,0.5975609756097561,0.5B,longdoc,5
32,256,32,0.125,0.791358397769193,0.937708567432918,0.0035124200793974023,0.7896363826456582,0.5853658536585366,0.5B,longdoc,5
32,256,32,0.125,0.9704317109066789,0.9417641501272149,0.052824123977584375,0.9493901083218769,0.6951219512195121,0.5B,longdoc,5
64,256,64,0.25,0.18992178812551477,0.9787779340560434,0.27296669151789854,0.3074226338790411,0.7804878048780488,0.5B,longdoc,5
64,256,64,0.25,0.3104468919500912,0.98237441701066,0.25153449052957544,0.23802066142765124,0.7439024390243902,0.5B,longdoc,5
64,256,64,0.25,0.4797181566662757,0.9681866278070437,0.14920878119028716,0.4062151675194164,0.8292682926829268,0.5B,longdoc,5
64,256,64,0.25,0.5374807377684466,0.9845214306347738,0.0035124200793974023,0.5384081129767836,0.7317073170731707,0.5B,longdoc,5
64,256,64,0.25,1.2289164706499185,0.9807428480289339,0.052824123977584375,1.255550230737727,0.7439024390243902,0.5B,longdoc,5
128,256,128,0.5,0.09249260948779452,0.9958610421606402,0.27296669151789854,0.2639760752978613,0.8414634146341463,0.5B,longdoc,5
128,256,128,0.5,0.09606264916679885,0.9967541404578508,0.25153449052957544,0.22033035004027401,0.9390243902439024,0.5B,longdoc,5
128,256,128,0.5,0.13400732967199472,0.9946433590093394,0.14920878119028716,0.1538888278869324,0.9390243902439024,0.5B,longdoc,5
128,256,128,0.5,0.3021330723813111,0.9991775054460023,0.0035124200793974023,0.30527282528935834,0.9390243902439024,0.5B,longdoc,5
128,256,128,0.5,0.965615327730616,0.9982077611007697,0.052824123977584375,0.9835568375851965,0.9512195121951219,0.5B,longdoc,5
192,256,192,0.75,0.031008507094396273,0.9998886118343763,0.27296669151789854,0.2782189388768074,0.9634146341463414,0.5B,longdoc,5
192,256,192,0.75,0.008755980755436477,0.9998740037478844,0.25153449052957544,0.25279587866483755,0.9878048780487805,0.5B,longdoc,5
192,256,192,0.75,0.025142125322366284,0.9998073922355408,0.14920878119028716,0.16811558559181886,0.975609756097561,0.5B,longdoc,5
192,256,192,0.75,0.15614192031939986,0.9998839212861573,0.0035124200793974023,0.1585906130424013,0.9634146341463414,0.5B,longdoc,5
192,256,192,0.75,0.6018037210618131,0.9998177915586519,0.052824123977584375,0.5904268455480097,0.975609756097561,0.5B,longdoc,5
256,256,256,1.0,2.7228330446673e-07,0.9999999993015081,0.27296669151789854,0.2729667416674605,1.0,0.5B,longdoc,5
256,256,256,1.0,2.204697830190795e-07,0.999999999476131,0.25153449052957544,0.2515344450966199,1.0,0.5B,longdoc,5
256,256,256,1.0,8.291126927860398e-07,0.999999999650754,0.14920878119028716,0.14920899182824537,1.0,0.5B,longdoc,5
256,256,256,1.0,1.771047144101593e-06,0.999999998952262,0.0035124200793974023,0.0035136097107231496,1.0,0.5B,longdoc,5
256,256,256,1.0,2.429002079333461e-06,0.9999999991268851,0.052824123977584375,0.05282431561944223,1.0,0.5B,longdoc,5
32,256,32,0.125,0.4184270380105316,0.8349314803472857,0.18648018074344813,0.3558444991408902,0.43902439024390244,0.5B,longdoc,6
32,256,32,0.125,0.2616660205636077,0.8753190019823761,0.18234261683827713,0.3170798652088246,0.5609756097560976,0.5B,longdoc,6
32,256,32,0.125,0.7055613565412221,0.8938566712493328,0.002943991300855486,0.707399722934119,0.5365853658536586,0.5B,longdoc,6
32,256,32,0.125,0.9307614542814661,0.9474378945990701,0.011942402762087152,0.9271278380088688,0.6097560975609756,0.5B,longdoc,6
32,256,32,0.125,1.880436740640475,0.9244546943019148,0.09776666888033327,1.7897317724403823,0.5487804878048781,0.5B,longdoc,6
64,256,64,0.25,0.15931213631001445,0.9716295603982097,0.18648018074344813,0.23459889618309387,0.8170731707317073,0.5B,longdoc,6
