prompt,regime,layer,head,T,S,read_ratio,component_read_gain,rel_l2,cosine,js,topk_overlap,mass_retained,entropy,gini,pass_strict,pass_mod,pass_weak
short_qa,short,0,7,44,2,0.045454545454545456,22.0,3.750062935547157e-08,0.999999999982369,1.2262791031608637e-08,1.0,0.9999999645583177,2.746143518170536e-05,0.9772726379487242,True,True,True
short_qa,short,0,7,44,4,0.09090909090909091,11.0,1.6108784586185717e-09,0.9999999999823693,3.2468025535335797e-10,1.0,0.999999999028527,2.746143518170536e-05,0.9772726379487242,True,True,True
short_qa,short,0,7,44,8,0.18181818181818182,5.5,4.080978651523375e-12,0.9999999999823693,4.0322147357973955e-12,1.0,0.9999999999797357,2.746143518170536e-05,0.9772726379487242,True,True,True
short_qa,short,0,7,44,16,0.36363636363636365,2.75,3.136446073828827e-15,0.9999999999823692,5.563129714582938e-17,1.0,0.9999999999989986,2.746143518170536e-05,0.9772726379487242,True,True,True
short_qa,short,0,7,44,32,0.7272727272727273,1.375,4.3413432656197095e-16,0.9999999999823694,1.1102198362640595e-16,1.0,0.9999999999989999,2.746143518170536e-05,0.9772726379487242,True,True,True
short_qa,short,0,8,44,1,0.022727272727272728,44.0,0.6658387953979709,0.8304261485631347,0.37802196554094436,1.0,0.2529583850809419,2.267373434142517,0.8332878776612488,False,False,False
short_qa,short,0,8,44,2,0.045454545454545456,22.0,0.6658387953982138,0.8304261485631346,0.2729310060896822,1.0,0.40228260639719293,2.267373434142517,0.8332878776612488,False,False,False
short_qa,short,0,8,44,4,0.09090909090909091,11.0,0.3515697301913173,0.9434877687962904,0.1547148519000956,1.0,0.6189095773632955,2.267373434142517,0.8332878776612488,False,False,False
short_qa,short,0,8,44,8,0.18181818181818182,5.5,0.10144896012781214,0.9964308323234751,0.03460596405677025,1.0,0.9036662930578594,2.267373434142517,0.8332878776612488,False,False,True
short_qa,short,0,8,44,16,0.36363636363636365,2.75,0.014044886885535646,0.9999603362483895,0.002431316345387199,1.0,0.9930024260083906,2.267373434142517,0.8332878776612488,True,True,True
short_qa,short,0,8,44,32,0.7272727272727273,1.375,0.0013071521736773008,0.999999772044425,0.00018805699585293785,1.0,0.9994574880957365,2.267373434142517,0.8332878776612488,True,True,True
