prompt,regime,layer,head,T,method,eff_bits,storage_ratio,rel_l2,cosine,js,topk_overlap
longdoc_qa,longdoc,13,12,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,0.3983970324793073,0.9476686136786536,0.033183709099591924,0.375
longdoc_qa,longdoc,13,13,3068,uniform_8bit,8.0,0.5,0.009348716138132361,0.9999581601747839,0.00011057717325512872,0.875
longdoc_qa,longdoc,13,13,3068,uniform_4bit,4.0,0.25,0.2643136977507969,0.967797378561025,0.04152879253891581,0.875
longdoc_qa,longdoc,13,13,3068,uniform_3bit,3.0,0.1875,0.4018523634782315,0.9560483285901074,0.11547795647004186,0.625
longdoc_qa,longdoc,13,13,3068,uniform_2bit,2.0,0.125,0.8991942504536742,0.8059947291288397,0.3003452744356104,0.5
longdoc_qa,longdoc,13,13,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.010684296858396653,0.9999499111712099,0.0002569960705251967,1.0
longdoc_qa,longdoc,13,13,3068,adapt_imp_h8l4f25,5.0,0.3125,0.010687169710475354,0.9999498218594222,0.00011461698048115933,1.0
longdoc_qa,longdoc,13,13,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,1.043772299920491,0.5615936312142926,0.26856110651465964,0.25
longdoc_qa,longdoc,13,13,3068,adapt_imp_h8l2f25,3.5,0.21875,0.49746447965720186,0.8778835161648442,0.0838165166139607,0.75
longdoc_qa,longdoc,13,13,3068,adapt_imp_h4l2f25,2.5,0.15625,0.48363186841512673,0.8949207486272731,0.1035347982219064,0.5
longdoc_qa,longdoc,13,13,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.010684296858396653,0.9999499111712099,0.0002569960705251967,1.0
longdoc_qa,longdoc,13,13,3068,adapt_margin_h8l4f25,5.0,0.3125,0.010687169710475354,0.9999498218594222,0.00011461698048115933,1.0
longdoc_qa,longdoc,13,13,3068,adapt_margin_h8l2f25,3.5,0.21875,0.49746447965720186,0.8778835161648442,0.0838165166139607,0.75
longdoc_qa,longdoc,13,13,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,0.8847424920030054,0.6776291852023741,0.4531332730352663,0.0
longdoc_qa,longdoc,13,13,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,0.8847424325602474,0.677629198837101,0.45313267955671654,0.0
longdoc_qa,longdoc,13,13,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.2755116088562618,0.9725849720582725,0.03192923820953498,0.5
longdoc_qa,longdoc,13,13,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.2755113734771525,0.9725856163533206,0.03192781288635843,0.5
longdoc_qa,longdoc,13,13,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,1.0849686731882673,0.4979228211402865,0.554015745556423,0.0
longdoc_qa,longdoc,13,13,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.043347584580486154,0.9990731539064018,0.009486466353195111,1.0
longdoc_qa,longdoc,13,13,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,1.084914159254404,0.49797483679938304,0.5539420887456898,0.0
longdoc_qa,longdoc,14,0,3068,uniform_8bit,8.0,0.5,0.016940423148927016,0.9999356498745614,9.827178645636253e-05,1.0
longdoc_qa,longdoc,14,0,3068,uniform_4bit,4.0,0.25,0.19716304857338451,0.9821857149492479,0.018711551110005303,1.0
longdoc_qa,longdoc,14,0,3068,uniform_3bit,3.0,0.1875,0.67916091859887,0.8819972393434589,0.15520161058046095,0.625
longdoc_qa,longdoc,14,0,3068,uniform_2bit,2.0,0.125,1.4234980885998656,0.6090552175702116,0.3701413016394275,0.5
longdoc_qa,longdoc,14,0,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.01437666671903101,0.9999231865289377,0.0008729109615765155,1.0
longdoc_qa,longdoc,14,0,3068,adapt_imp_h8l4f25,5.0,0.3125,0.013729391477681707,0.9999312247283724,0.00044584512583839715,1.0
longdoc_qa,longdoc,14,0,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,1.5529659984483504,0.317641191470241,0.6247227295307259,0.5
longdoc_qa,longdoc,14,0,3068,adapt_imp_h8l2f25,3.5,0.21875,1.5825903984426686,0.30213249251352065,0.6263447587735964,0.5
longdoc_qa,longdoc,14,0,3068,adapt_imp_h4l2f25,2.5,0.15625,1.5779501031909535,0.30376214402662727,0.624344104572125,0.375
longdoc_qa,longdoc,14,0,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.01437666671903101,0.9999231865289377,0.0008729109615765155,1.0
longdoc_qa,longdoc,14,0,3068,adapt_margin_h8l4f25,5.0,0.3125,0.013729391477681707,0.9999312247283724,0.00044584512583839715,1.0
longdoc_qa,longdoc,14,0,3068,adapt_margin_h8l2f25,3.5,0.21875,1.5825903984426686,0.30213249251352065,0.6263447587735964,0.5
longdoc_qa,longdoc,14,0,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,1.4731690890780005,0.32566719497770075,0.5832791075330583,0.5
longdoc_qa,longdoc,14,0,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,1.469193210976582,0.3262124453942186,0.5860107553644669,0.5
longdoc_qa,longdoc,14,0,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.062043375352939203,0.9985127824442127,0.009648641844547735,1.0
longdoc_qa,longdoc,14,0,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.05984405393986461,0.9986421342995127,0.009079935007362054,1.0
longdoc_qa,longdoc,14,0,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,1.4797807722164846,0.3245135876368933,0.5826637999595154,0.5
longdoc_qa,longdoc,14,0,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.058313644771523135,0.9986074536491535,0.010052507858673326,1.0
longdoc_qa,longdoc,14,0,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,1.4795208561124722,0.32466672035028005,0.5824381215380716,0.5
longdoc_qa,longdoc,14,1,3068,uniform_8bit,8.0,0.5,0.005468124604862396,0.9999850910131898,2.498804382716931e-05,1.0
longdoc_qa,longdoc,14,1,3068,uniform_4bit,4.0,0.25,0.10015605192566948,0.9950044693258824,0.0023550036249398946,0.75
longdoc_qa,longdoc,14,1,3068,uniform_3bit,3.0,0.1875,0.26954998385099677,0.9668447028903904,0.05918726962085208,0.875
longdoc_qa,longdoc,14,1,3068,uniform_2bit,2.0,0.125,1.5490532396790013,0.0688687924328628,0.5664636619286461,0.5
longdoc_qa,longdoc,14,1,3068,adapt_imp_h8l4f10,4.400260756192959,0.27501629726205995,0.008272269421893304,0.9999836430898562,0.00011908848666060206,1.0
longdoc_qa,longdoc,14,1,3068,adapt_imp_h8l4f25,5.0,0.3125,0.008213909351625493,0.999983676658678,8.975512177019241e-05,1.0
longdoc_qa,longdoc,14,1,3068,adapt_imp_h8l2f10,2.6003911342894392,0.16252444589308995,0.9617185705361256,0.34949204631184283,0.46759414694938445,0.375
longdoc_qa,longdoc,14,1,3068,adapt_imp_h8l2f25,3.5,0.21875,0.8111785951436422,0.5851975730408451,0.394447438675014,0.375
longdoc_qa,longdoc,14,1,3068,adapt_imp_h4l2f25,2.5,0.15625,1.0387566342713979,0.22635166587226024,0.6334144126919181,0.25
longdoc_qa,longdoc,14,1,3068,adapt_margin_h8l4f10,4.400260756192959,0.27501629726205995,0.008272269421893304,0.9999836430898562,0.00011908848666060206,1.0
longdoc_qa,longdoc,14,1,3068,adapt_margin_h8l4f25,5.0,0.3125,0.008213909351625493,0.999983676658678,8.975512177019241e-05,1.0
longdoc_qa,longdoc,14,1,3068,adapt_margin_h8l2f25,3.5,0.21875,0.8111785951436422,0.5851975730408451,0.394447438675014,0.375
longdoc_qa,longdoc,14,1,3068,recent64_r8o2,2.1251629726205996,0.13282268578878748,1.0111941441284582,0.23554359712285033,0.5589523642015618,0.25
longdoc_qa,longdoc,14,1,3068,recent128_r8o2,2.2503259452411997,0.14064537157757498,1.0116048903873867,0.23513757666148408,0.5583260740913343,0.25
longdoc_qa,longdoc,14,1,3068,recent64_r8o4,4.083441981747066,0.25521512385919165,0.012224947870140578,0.9999738693389353,0.0010244230784908117,1.0
longdoc_qa,longdoc,14,1,3068,recent128_r8o4,4.166883963494133,0.2604302477183833,0.01167770737900327,0.9999749009113794,0.0008018663011492679,1.0
longdoc_qa,longdoc,14,1,3068,routed_r8bg2,2.0625814863103,0.12891134289439374,1.0105667696968708,0.23583899323188784,0.5572613253383074,0.25
longdoc_qa,longdoc,14,1,3068,routed_r8bg4,4.041720990873533,0.2526075619295958,0.008953023846546265,0.9999831009138297,0.00041861513763815045,1.0
longdoc_qa,longdoc,14,1,3068,routed_r16bg2,2.146023468057366,0.1341264667535854,1.0066270416945935,0.24309806473059195,0.5529605914497455,0.25
longdoc_qa,longdoc,14,2,3068,uniform_8bit,8.0,0.5,0.02404769009467314,0.9999185077731679,0.00014359609074997151,1.0
longdoc_qa,longdoc,14,2,3068,uniform_4bit,4.0,0.25,0.2770022687683534,0.963747698659822,0.019304547785279416,0.875
