prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,3,8,44,1.3504677246880235,0.9150282608151697,0.24439732761373023,0.15308231333371936,0.98497072929999,0.01487445265721504,0.39224356549159184,0.1478543264141417
short_qa,short,3,9,44,2.5814388452903136,0.7513047905773533,0.24439732761373023,0.04617481221178421,0.9169278783787036,0.13694486014152402,2.702346160847807,0.3318121134555654
short_qa,short,3,10,44,1.1224942519523105,0.941506660820565,0.24439732761373023,0.14204881473548525,0.9982351121319069,0.0024401929078141,0.014311680595404502,0.17043766598615032
short_qa,short,3,11,44,0.4585889213290138,0.9602426673312191,0.24439732761373023,0.41981830836787637,0.9963019479192611,0.011852721224310156,0.09708212460110935,0.16400494801919396
short_qa,short,3,12,44,1.7349666097365384,0.9020745808015366,0.24439732761373023,0.13413440027946422,0.9961237924980838,0.0044552882011715715,0.6993462626324467,0.26428404010739304
short_qa,short,3,13,44,0.9823106582261671,0.9309969988064463,0.24439732761373023,0.07196391591534024,0.9861180033415633,0.045519050328644645,0.09550220052631075,0.15669029558451664
short_qa,short,4,0,44,1.9342088296153586,0.8770148195934631,0.2212882200403526,0.08208686500106666,0.995894028688792,0.005753241366617986,0.01891459777072962,0.25188488670048925
short_qa,short,4,1,44,2.4830911477723285,0.7858936191424881,0.2212882200403526,0.14157117136881103,0.9542747085592699,0.07219765078113094,0.4463174766717662,0.20401406971750743
short_qa,short,4,2,44,1.5862722230080621,0.8944867435924068,0.2212882200403526,0.19755953731066134,0.9753557677450406,0.03285575124641681,0.07994350113460559,0.18650456380914432
short_qa,short,4,3,44,2.921919089763148,0.6644592917124182,0.2212882200403526,0.23045262951028178,0.867311468995862,0.23350907036410157,0.9388549413694146,0.35556598275500356
short_qa,short,4,4,44,2.1681878478631242,0.8494185918711911,0.2212882200403526,0.3519355952926433,0.9838617655144464,0.02392145416351619,0.2026022740297422,0.23657287432012683
short_qa,short,4,5,44,1.6565015128728922,0.9078666539384439,0.2212882200403526,0.08562875996536157,0.9945387451903412,0.009685891559902056,0.02448754393851297,0.24250003762570949
short_qa,short,4,6,44,1.6070354234898772,0.908034732505484,0.2212882200403526,0.1170245783221322,0.989946236711243,0.011864240497955078,0.6753807328913524,0.31649758208230255
short_qa,short,4,7,44,3.0832308674711753,0.6105718999614086,0.21238852225454596,0.056217288870128446,0.8110966548720723,0.24155377428594327,0.4486471564393664,0.1248948434191895
short_qa,short,4,8,44,2.6083936129779715,0.715913738197646,0.21238852225454596,0.05671569223979844,0.8650297793213073,0.23081984019941695,0.3554182481434354,0.33272335265659464
