dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,regime,layer,T
384,1536,384,0.25,8.042513888496834e-05,0.9999975636578211,0.4892989066146241,0.4893077652629122,1.0,doc,1,1024
384,1536,384,0.25,0.00013640364843486242,0.9999980106930833,0.583402670404657,0.5833157803711058,1.0,doc,1,1024
384,1536,384,0.25,6.483566048223966e-05,0.9999977201201629,1.2283384688789072,1.228485430962308,1.0,doc,1,1024
512,1536,512,0.3333333333333333,0.00043211368531700727,0.9999994747335668,0.024642512348608942,0.024612813535243378,1.0,doc,1,1024
512,1536,512,0.3333333333333333,6.559797646899773e-05,0.9999980218689648,0.4892989066146241,0.4893451801420923,1.0,doc,1,1024
512,1536,512,0.3333333333333333,8.25547099028618e-05,0.9999987371253842,0.583402670404657,0.5833263970509907,1.0,doc,1,1024
512,1536,512,0.3333333333333333,3.903633042863945e-05,0.9999988712359629,1.2283384688789072,1.2283306370918965,1.0,doc,1,1024
768,1536,768,0.5,0.00013833874077628415,0.9999998770653027,0.024642512348608942,0.024639002113744393,1.0,doc,1,1024
768,1536,768,0.5,1.473437023273864e-05,0.999999519437093,0.4892989066146241,0.48930397976901985,1.0,doc,1,1024
768,1536,768,0.5,2.0273844359374164e-05,0.9999997541306056,0.583402670404657,0.5833731136142852,1.0,doc,1,1024
768,1536,768,0.5,1.4354530898882699e-05,0.9999995641406192,1.2283384688789072,1.2283573387788074,1.0,doc,1,1024
1536,1536,1536,1.0,6.630050236078431e-07,0.9999999999999998,0.024642512348608942,0.02464264581932657,1.0,doc,1,1024
1536,1536,1536,1.0,1.0652835723863357e-07,0.9999999999999998,0.4892989066146241,0.4892988577734525,1.0,doc,1,1024
1536,1536,1536,1.0,1.192245308113344e-07,0.9999999999999998,0.583402670404657,0.5834027254950238,1.0,doc,1,1024
1536,1536,1536,1.0,1.1314167461380101e-07,0.9999999999999998,1.2283384688789072,1.2283384428198452,1.0,doc,1,1024
64,1536,64,0.041666666666666664,0.024320468575248458,0.9999940767827764,0.006229517499580931,0.02319890539853719,1.0,doc,2,1024
64,1536,64,0.041666666666666664,0.025270033996028,0.9999964795973104,0.0001599511661993103,0.025322198315794207,1.0,doc,2,1024
64,1536,64,0.041666666666666664,0.014782394578290104,0.9999869242185822,0.026894021335059397,0.029579543148516768,1.0,doc,2,1024
64,1536,64,0.041666666666666664,0.01928053947294087,0.999989304681353,2.5271292883097304e-05,0.01927200832193675,1.0,doc,2,1024
128,1536,128,0.08333333333333333,0.013907547753570173,0.9999963566626133,0.006229517499580931,0.013940672663047797,1.0,doc,2,1024
128,1536,128,0.08333333333333333,0.014341724265805591,0.9999975971854658,0.0001599511661993103,0.014393480780882584,1.0,doc,2,1024
128,1536,128,0.08333333333333333,0.008807445378237206,0.9999942444209997,0.026894021335059397,0.026985167340362635,1.0,doc,2,1024
128,1536,128,0.08333333333333333,0.011824711287293456,0.9999980777483726,2.5271292883097304e-05,0.01182642701422232,1.0,doc,2,1024
256,1536,256,0.16666666666666666,0.004161936984193126,0.9999970048637434,0.006229517499580931,0.006231828205543995,1.0,doc,2,1024
256,1536,256,0.16666666666666666,0.005971518703841607,0.9999982006830697,0.0001599511661993103,0.006054544962690149,1.0,doc,2,1024
256,1536,256,0.16666666666666666,0.002649346691237818,0.9999958984514696,0.026894021335059397,0.026431947169814656,1.0,doc,2,1024
256,1536,256,0.16666666666666666,0.003094858304844745,0.9999990276983046,2.5271292883097304e-05,0.003106569861382864,1.0,doc,2,1024
384,1536,384,0.25,0.002046840885942078,0.9999983906730561,0.006229517499580931,0.00642861200124069,1.0,doc,2,1024
384,1536,384,0.25,0.0039029364036869455,0.9999990388741862,0.0001599511661993103,0.0039824931809121986,1.0,doc,2,1024
384,1536,384,0.25,0.001271845641254696,0.9999971389743221,0.026894021335059397,0.027050825624299137,1.0,doc,2,1024
384,1536,384,0.25,0.0017104904158847987,0.999999418854159,2.5271292883097304e-05,0.0016963418266434862,1.0,doc,2,1024
512,1536,512,0.3333333333333333,0.0010309496942552115,0.9999991059294755,0.006229517499580931,0.006095052093142267,1.0,doc,2,1024
512,1536,512,0.3333333333333333,0.00203546633406406,0.999999519437093,0.0001599511661993103,0.002068763271545712,1.0,doc,2,1024
512,1536,512,0.3333333333333333,0.0009009568983603203,0.99999849125599,0.026894021335059397,0.027115566802790605,1.0,doc,2,1024
512,1536,512,0.3333333333333333,0.0009513028369956081,0.9999997764823687,2.5271292883097304e-05,0.000943817727601939,1.0,doc,2,1024
768,1536,768,0.5,0.00036218835857355355,0.9999998547135396,0.006229517499580931,0.00617789075023562,1.0,doc,2,1024
768,1536,768,0.5,0.0006491265021797164,0.9999999217688289,0.0001599511661993103,0.0006843566238297319,1.0,doc,2,1024
768,1536,768,0.5,0.0002262569278998564,0.9999996870753163,0.026894021335059397,0.02695133795676928,1.0,doc,2,1024
768,1536,768,0.5,0.0003430842997197944,0.9999999105929473,2.5271292883097304e-05,0.00033181657209965413,1.0,doc,2,1024
