prompt,regime,layer,head,T,method,param,budget,read,read_ratio,rel_l2,cosine,mass_retained,oracle_recall,pass_mod
short_qa,short,0,3,44,jl,64,8,8,0.18181818181818182,1.1243440122429154,0.199913710713586,0.06909560209329496,0.0,False
short_qa,short,0,3,44,jl,128,8,8,0.18181818181818182,0.5170513512738325,0.868282166135507,0.12198698577018793,0.125,False
short_qa,short,0,3,44,block_centroid,32,8,32,0.7272727272727273,0.5571535075794719,0.849131510648315,0.6089838846234118,0.875,False
short_qa,short,0,3,44,block_upperbound,32,8,32,0.7272727272727273,0.5571535075794719,0.849131510648315,0.6089838846234118,0.875,False
short_qa,short,0,3,44,recency_router,64,8,8,0.18181818181818182,1.2578046922985167,0.9234770143422635,0.2990936619370752,0.125,False
short_qa,short,0,3,44,sink_recent_router,64,8,12,0.2727272727272727,0.7844397308741013,0.9414607114919651,0.37622220898281994,0.25,False
short_qa,short,0,3,44,jl,8,16,16,0.36363636363636365,0.8453757306228482,0.5402720805018194,0.23137130728688696,0.3125,False
short_qa,short,0,3,44,jl,16,16,16,0.36363636363636365,0.40497821202881007,0.9231073794189972,0.3949391493463136,0.5625,False
short_qa,short,0,3,44,jl,32,16,16,0.36363636363636365,0.4707009120164408,0.8831399028336779,0.39747424324013875,0.5,False
short_qa,short,0,3,44,jl,64,16,16,0.36363636363636365,0.5513411291946678,0.9643637973804444,0.4502540305842045,0.4375,False
short_qa,short,0,3,44,jl,128,16,16,0.36363636363636365,0.7670630135870681,0.958624296381291,0.5070314130481647,0.3125,False
short_qa,short,0,3,44,block_centroid,32,16,32,0.7272727272727273,0.5571535075794719,0.849131510648315,0.6089838846234118,0.75,False
short_qa,short,0,3,44,block_upperbound,32,16,32,0.7272727272727273,0.5571535075794719,0.849131510648315,0.6089838846234118,0.75,False
short_qa,short,0,3,44,recency_router,64,16,16,0.36363636363636365,0.5894160965227491,0.965293807745126,0.4496134542055053,0.375,False
short_qa,short,0,3,44,sink_recent_router,64,16,20,0.45454545454545453,0.35329943148149767,0.9766410083653033,0.52674200125125,0.5,False
short_qa,short,0,3,44,jl,8,32,32,0.7272727272727273,0.10863893354886943,0.9953698251448807,0.7663769783787789,0.6875,False
short_qa,short,0,3,44,jl,16,32,32,0.7272727272727273,0.0621239591087478,0.9981249666301681,0.835267118873659,0.75,True
short_qa,short,0,3,44,jl,32,32,32,0.7272727272727273,0.1496859877677505,0.9958822962174322,0.8815635506667305,0.84375,False
short_qa,short,0,3,44,jl,64,32,32,0.7272727272727273,0.1692112490358054,0.991968551561557,0.7114518679471752,0.6875,False
short_qa,short,0,3,44,jl,128,32,32,0.7272727272727273,0.2017741704260626,0.9938989168667222,0.8556573807417375,0.84375,False
short_qa,short,0,3,44,block_centroid,32,32,32,0.7272727272727273,0.5571535075794719,0.849131510648315,0.6089838846234118,0.75,False
short_qa,short,0,3,44,block_upperbound,32,32,32,0.7272727272727273,0.5571535075794719,0.849131510648315,0.6089838846234118,0.75,False
short_qa,short,0,3,44,recency_router,64,32,32,0.7272727272727273,0.17312113954351846,0.9952880233304445,0.8388417763315373,0.78125,False
short_qa,short,0,3,44,sink_recent_router,64,32,36,0.8181818181818182,0.05518624608995041,0.9991923125194897,0.9159703233772821,0.875,True
short_qa,short,0,4,44,jl,8,8,8,0.18181818181818182,1.9852470119664831,-0.222785620651063,2.032369651220611e-06,0.0,False
short_qa,short,0,4,44,jl,16,8,8,0.18181818181818182,1.6007975586201946,0.00032962916351627855,0.029241751044065522,0.25,False
short_qa,short,0,4,44,jl,32,8,8,0.18181818181818182,0.05307504412276092,0.9989725026309094,0.9517106378740688,0.5,True
short_qa,short,0,4,44,jl,64,8,8,0.18181818181818182,1.234022323352342,0.40434332618951324,4.397303262210979e-06,0.0,False
short_qa,short,0,4,44,jl,128,8,8,0.18181818181818182,0.05239131179474693,0.9989812958746598,0.9526774912923122,0.75,True
short_qa,short,0,4,44,block_centroid,32,8,12,0.2727272727272727,1.1999698520620554,0.42408263053532547,4.516906959943396e-06,0.0,False
short_qa,short,0,4,44,block_upperbound,32,8,32,0.7272727272727273,5.420176658838391e-06,0.999999999975146,0.9999954830920401,1.0,True
short_qa,short,0,4,44,recency_router,64,8,8,0.18181818181818182,1.2340223233523415,0.40434332618951346,4.397303262210979e-06,0.0,False
short_qa,short,0,4,44,sink_recent_router,64,8,12,0.2727272727272727,1.2322535828987309,0.402349127947173,4.413986057782912e-06,0.0,False
short_qa,short,0,4,44,jl,8,16,16,0.36363636363636365,0.9797108619179874,0.4443130626556816,7.502636796237209e-06,0.3125,False
short_qa,short,0,4,44,jl,16,16,16,0.36363636363636365,0.4768678313732421,0.90823601897897,0.4658041846546663,0.625,False
short_qa,short,0,4,44,jl,32,16,16,0.36363636363636365,4.647999752231107e-05,0.9999999993867147,0.9999745283879711,0.8125,True
short_qa,short,0,4,44,jl,64,16,16,0.36363636363636365,0.4752976360320744,0.9084859831217337,0.4676259247922829,0.5625,False
short_qa,short,0,4,44,jl,128,16,16,0.36363636363636365,7.306391660070887e-06,0.999999999974538,0.9999942293134091,0.5625,True
short_qa,short,0,4,44,block_centroid,32,16,44,1.0,0.0,0.9999999999874227,0.999999999999,1.0,True
short_qa,short,0,4,44,block_upperbound,32,16,32,0.7272727272727273,5.420176658838391e-06,0.999999999975146,0.9999954830920401,0.8125,True
