n,coverage,fail_rate_routed,fail_rate_overall,avg_read_fraction,kv_read_reduction,split,features,model,policy
2352,0.34523809523809523,0.050492610837438424,0.017431972789115645,0.6929666087858966,1.4430709753129916,lolo_layer,all,tree,selective@95prec
2352,0.41964285714285715,0.04964539007092199,0.020833333333333332,0.6271609984824607,1.5944869059455173,lolo_layer,all,rforest,selective@95prec
2352,0.42346938775510207,0.04919678714859438,0.020833333333333332,0.6241376912492048,1.6022105602988195,lolo_layer,all,gboost,selective@95prec
2352,0.30654761904761907,0.049930651872399444,0.015306122448979591,0.7272281255998915,1.3750843302094493,lolo_layer,all,mlp,selective@95prec
2352,0.016581632653061226,0.3076923076923077,0.00510204081632653,0.9859692400394152,1.0142304236185136,lolo_layer,entropy_only,tree,selective@95prec
2352,0.03231292517006803,0.4605263157894737,0.01488095238095238,0.9722541874607197,1.0285376117656488,lolo_layer,mass_only,tree,selective@95prec
2352,0.008928571428571428,0.7142857142857143,0.006377551020408163,0.9925537631905251,1.0075020992168113,lolo_layer,cent_entropy_only,tree,selective@95prec
2352,0.2606292517006803,0.048939641109298535,0.012755102040816327,0.7676544646199884,1.3026694249671686,loho_head,cheap,logreg,selective@95prec
2352,0.18537414965986396,0.052752293577981654,0.00977891156462585,0.8358945503398617,1.1963231481691268,loho_head,cheap,tree,selective@95prec
2352,0.37712585034013607,0.0496054114994363,0.01870748299319728,0.6635808297269264,1.5069754206303927,loho_head,cheap,rforest,selective@95prec
2352,0.358843537414966,0.04976303317535545,0.017857142857142856,0.6803735030988345,1.4697809298060436,loho_head,cheap,gboost,selective@95prec
2352,0.2512755102040816,0.049069373942470386,0.012329931972789115,0.7757776654036161,1.2890291182586793,loho_head,cheap,mlp,selective@95prec
2352,0.41028911564625853,0.049740932642487044,0.02040816326530612,0.6351244879683693,1.5744944793402493,loho_head,all,logreg,selective@95prec
2352,0.4005102040816326,0.050955414012738856,0.02040816326530612,0.6457073587884099,1.5486891799969207,loho_head,all,tree,selective@95prec
2352,0.4528061224489796,0.04976525821596244,0.022534013605442178,0.5989039599409346,1.669716794156149,loho_head,all,rforest,selective@95prec
2352,0.45450680272108845,0.050514499532273154,0.02295918367346939,0.5974483006831087,1.6737849933736908,loho_head,all,gboost,selective@95prec
2352,0.4098639455782313,0.04979253112033195,0.02040816326530612,0.6356237148499411,1.5732578515200324,loho_head,all,mlp,selective@95prec
2352,0.013605442176870748,0.25,0.003401360544217687,0.9882590355717025,1.0118804523972862,loho_head,entropy_only,tree,selective@95prec
2352,0.026785714285714284,0.30158730158730157,0.008078231292517007,0.9771301552850243,1.0234051160853843,loho_head,mass_only,tree,selective@95prec
2352,0.007227891156462585,0.5882352941176471,0.004251700680272109,0.9937810285958137,1.006257889037159,loho_head,cent_entropy_only,tree,selective@95prec
2352,1.0,0.5017006802721088,0.5017006802721088,0.1395759555877997,7.164557790693068,-,-,-,universal_sparse
2352,0.0,0.0,0.0,1.0,1.0,-,-,-,full_only
