regime,policy,block_size,budget,rl2_med,rl2_p90,read_ratio,pass10,mass,support,over_read,n,model,ctx
agent,recent_sink_routed,64,0.005,0.31249457864680025,1.0598860490811532,0.015625,0.2857142857142857,0.6179699547799126,0.46508420441347276,3.1219512195121952,336,0.5B,8192
agent,recent_sink_routed,64,0.01,0.31249457864680025,1.0598860490811532,0.015625,0.2857142857142857,0.6179699547799126,0.35289634146341464,1.5609756097560976,336,0.5B,8192
agent,recent_sink_routed,64,0.02,0.14761465687685366,0.8293619871854421,0.0234375,0.4166666666666667,0.6993491218826272,0.3777765679442509,1.170731707317073,336,0.5B,8192
agent,recent_sink_routed,64,0.05,0.08681982937602956,0.6003775149227908,0.046875,0.5416666666666666,0.7772709268730451,0.40840592334494774,0.9365853658536585,336,0.5B,8192
agent,recent_sink_routed,64,0.1,0.04732406083367535,0.3869101199887109,0.1015625,0.6369047619047619,0.8395098567480361,0.48841463414634145,1.0146341463414634,336,0.5B,8192
agent,recent_sink_routed,64,0.15,0.03514967129475183,0.30334629329932383,0.1484375,0.7113095238095238,0.868713292622558,0.5216155217172305,0.9894222945484134,336,0.5B,8192
agent,recent_sink_routed,128,0.0025,0.14392913204287366,0.8117634397691671,0.03125,0.4166666666666667,0.7040001445084243,0.7131519274376418,12.19047619047619,336,0.5B,8192
agent,recent_sink_routed,128,0.005,0.14392913204287366,0.8117634397691671,0.03125,0.4166666666666667,0.7040001445084243,0.6247096399535425,6.2439024390243905,336,0.5B,8192
agent,recent_sink_routed,128,0.01,0.14392913204287366,0.8117634397691671,0.03125,0.4166666666666667,0.7040001445084243,0.5093641114982579,3.1219512195121952,336,0.5B,8192
agent,recent_sink_routed,128,0.02,0.14392913204287366,0.8117634397691671,0.03125,0.4166666666666667,0.7040001445084243,0.3871769744483159,1.5609756097560976,336,0.5B,8192
agent,recent_sink_routed,128,0.05,0.10199615648566578,0.6213464232081727,0.046875,0.49702380952380953,0.7615116905559711,0.3610554587688734,0.9365853658536585,336,0.5B,8192
agent,recent_sink_routed,128,0.1,0.055620961777606594,0.4174510742436189,0.09375,0.6130952380952381,0.8266011423499042,0.4314859175377468,0.9365853658536585,336,0.5B,8192
agent,recent_sink_routed,128,0.15,0.03659454834506323,0.3009710628437392,0.15625,0.7113095238095238,0.8683237879023791,0.5103452284086947,1.0414971521562246,336,0.5B,8192
agent,recent_sink_routed,256,0.0025,0.10278602259263096,0.624929711890018,0.0625,0.49404761904761907,0.7671349481322115,0.8140589569160998,24.38095238095238,336,0.5B,8192
agent,recent_sink_routed,256,0.005,0.10278602259263096,0.624929711890018,0.0625,0.49404761904761907,0.7671349481322115,0.7417247386759582,12.487804878048781,336,0.5B,8192
agent,recent_sink_routed,256,0.01,0.10278602259263096,0.624929711890018,0.0625,0.49404761904761907,0.7671349481322115,0.6468858885017421,6.2439024390243905,336,0.5B,8192
agent,recent_sink_routed,256,0.02,0.10278602259263096,0.624929711890018,0.0625,0.49404761904761907,0.7671349481322115,0.5385452961672473,3.1219512195121952,336,0.5B,8192
agent,recent_sink_routed,256,0.05,0.10278602259263096,0.624929711890018,0.0625,0.49404761904761907,0.7671349481322115,0.37735191637630666,1.248780487804878,336,0.5B,8192
agent,recent_sink_routed,256,0.1,0.06305954806050376,0.47949540288732206,0.09375,0.5863095238095238,0.8125926067987091,0.38678498838559816,0.9365853658536585,336,0.5B,8192
agent,recent_sink_routed,256,0.15,0.03895126686726319,0.31521508555104577,0.15625,0.6904761904761905,0.8599803456925992,0.4752726761982254,1.0414971521562246,336,0.5B,8192
agent,token_oracle,0,0.0025,0.19773489146986364,0.8219629306741298,0.0025634765625,0.30952380952380953,0.6842951381439949,1.0,1.0,336,0.5B,8192
agent,token_oracle,0,0.005,0.14112096647185063,0.6703601192773574,0.0050048828125,0.40773809523809523,0.7431424465697256,1.0,1.0,336,0.5B,8192
agent,token_oracle,0,0.01,0.09037248902791518,0.5519254138004692,0.010009765625,0.5208333333333334,0.7995067607756153,1.0,1.0,336,0.5B,8192
agent,token_oracle,0,0.02,0.05905874311151765,0.4198649428512119,0.02001953125,0.6130952380952381,0.8490130686020938,1.0,1.0,336,0.5B,8192
agent,token_oracle,0,0.05,0.02696893915703514,0.2722585040248906,0.050048828125,0.75,0.9076514645852205,1.0,1.0,336,0.5B,8192
agent,token_oracle,0,0.1,0.012924269578900038,0.1757860704614641,0.10009765625,0.8303571428571429,0.9453396885910705,1.0,1.0,336,0.5B,8192
agent,token_oracle,0,0.15,0.007209594286238765,0.11987441700347294,0.1500244140625,0.8839285714285714,0.9635732534494841,1.0,1.0,336,0.5B,8192
lenshift,block_oracle,16,0.0025,0.5757611705513348,1.1682125214073176,0.003205128205128205,0.10416666666666667,0.6570481799230975,0.48374542124542125,1.2307692307692308,336,0.5B,8192
lenshift,block_oracle,16,0.005,0.12518657336576766,0.6201190333545552,0.00641025641025641,0.44642857142857145,0.8422851827528921,0.6075,1.28,336,0.5B,8192
lenshift,block_oracle,16,0.01,0.055814042770510316,0.5086231291269095,0.009615384615384616,0.625,0.8910558839988243,0.4923214285714285,0.96,336,0.5B,8192
lenshift,block_oracle,16,0.02,0.02356441596817633,0.37684033893019925,0.019230769230769232,0.75,0.9270339891396896,0.4996130952380953,0.96,336,0.5B,8192
lenshift,block_oracle,16,0.05,0.013538571051902037,0.2899392350313784,0.05128205128205128,0.7857142857142857,0.9451752825606593,0.4711666666666667,1.024,336,0.5B,8192
